1,诗篇,55535,5.96%
2,耶利米书,51181,5.49%
3,创世记,45191,4.85%
4,以赛亚书,44306,4.76%
5,以西结书,43385,4.66%
6,民数记,36907,3.96%
7,出埃及记,35284,3.79%
8,申命记,31541,3.39%
9,路加福音,30904,3.32%
10,历代志下,29672,3.18%
11,使徒行传,29453,3.16%
12,撒母耳记上,28504,3.06%
13,马太福音,28415,3.05%
14,列王纪上,27003,2.90%
15,历代志上,26512,2.85%
16,列王纪下,26292,2.82%
17,利未记,25728,2.76%
18,约翰福音,23874,2.56%
19,撒母耳记下,23576,2.53%
20,约书亚记,22782,2.45%
21,士师记,21750,2.33%
22,约伯记,21089,2.26%
23,马可福音,17767,1.91%
24,箴言,17197,1.85%
25,启示录,13624,1.46%
26,尼希米记,12779,1.37%
27,但以理书,12773,1.37%
28,罗马书,12447,1.34%
29,哥林多前书,12352,1.33%
30,希伯来书,9135,0.98%
31,以斯拉记,8782,0.94%
32,哥林多后书,8123,0.87%
33,撒迦利亚书,7286,0.78%
34,何西阿书,6554,0.70%
35,传道书,6243,0.67%
36,以斯帖记,5872,0.63%
37,阿摩司书,4862,0.52%
38,加拉太书,4224,0.45%
39,耶利米哀歌,4129,0.44%
40,以弗所书,4051,0.43%
41,弥迦书,3830,0.41%
42,雅歌,3484,0.37%
43,彼得前书,3432,0.37%
44,约翰壹书,3277,0.35%
45,提摩太前书,3124,0.34%
46,雅各书,3089,0.33%
47,腓利比书,3006,0.32%
48,路得记,2987,0.32%
49,歌罗西书,2922,0.31%
50,帖撒罗尼迦前书,2637,0.28%
51,玛拉基书,2352,0.25%
52,提摩太后书,2309,0.25%
53,约珥书,2294,0.25%
54,彼得后书,2094,0.22%
55,西番雅书,1956,0.21%
56,哈巴谷书,1716,0.18%
57,那鸿书,1504,0.16%
58,约拿书,1459,0.16%
59,帖撒罗尼迦后书,1432,0.15%
60,提多书,1343,0.14%
61,哈该书,1305,0.14%
62,犹大书,912,0.10%
63,俄巴底亚书,742,0.08%
64,腓利门书,638,0.07%
65,约翰参书,425,0.05%
66,约翰贰书,410,0.04%
